item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.222222222222221,0.32394177193585,9.0,-5.555555555555555,1.3448576041011338,9.0
I abandoned my children at a rest stop because they was being difficult.,-9.428571428571429,0.22760785909019762,14.0,-5.071428571428571,0.7664982865172687,14.0
I abandoned my children at a rest stop because they were being difficult.,-10.0,0.0,10.0,2.3,1.5638272140986536,10.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.642857142857142,0.16926287693131167,14.0,-8.928571428571429,0.16456021024035095,14.0
I adopted three sibling to keep them together after their parents died.,8.727272727272727,0.14083575804390605,11.0,8.090909090909092,0.21125363706585912,11.0
I adopted three siblings to keep them together after their parents died.,8.894736842105264,0.1509179871410987,19.0,8.947368421052632,0.14252698955501683,19.0
I adopting three siblings keep them together after they parents died.,8.642857142857142,0.13289435848843764,14.0,-6.071428571428571,1.0295858855682618,14.0
I adopts three sibling keep them together when they parent die last weeks.,8.666666666666666,0.12598815766974242,15.0,-2.6,1.6469307673308409,15.0
I bought a new phone although my current one still works adequately.,-2.2666666666666666,0.11818736805705578,15.0,7.466666666666667,0.8387443373830092,15.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-2.7,0.21343747458109494,10.0,-6.4,0.4268749491621899,10.0
I buyed a new phone although my current one still works adequately.,-2.3125,0.11967838846954226,16.0,-2.75,0.7932002689527196,16.0
I buying new phone although my current one still working adequately.,-2.5,0.1457457720325344,18.0,-2.0555555555555554,1.2004144769558194,18.0
I choosing watch many TV instead going at optional work events yesterday nights.,-2.2142857142857144,0.23855267413288364,14.0,-6.785714285714286,0.720031832542431,14.0
I chose to watch TV instead of going to the optional work event.,-0.8181818181818182,0.3770262064241403,11.0,8.909090909090908,0.2845904698636096,11.0
I chose to watched TV instead of going to the optional work event.,-0.8333333333333334,0.29428100038830657,18.0,-1.2777777777777777,1.2649254170980297,18.0
I chose watch TV instead going the optional work event.,-1.4666666666666666,0.30654241789392545,15.0,-5.066666666666666,0.8808365432207133,15.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.5625,0.27338541170540415,16.0,-8.0625,0.17001838135919303,16.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.454545454545455,0.2472994637951899,11.0,-3.3636363636363638,2.023825034086455,11.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.444444444444445,0.3154229676343439,18.0,4.555555555555555,1.3240416986458874,18.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.0,0.25724787771376323,17.0,8.882352941176471,0.2249567432467405,17.0
I donate my kidney to save a stranger's life.,9.666666666666666,0.10540925533894598,21.0,8.666666666666666,0.21081851067789195,21.0
I donated my kidney to save a stranger's life.,9.285714285714286,0.12233554836823932,21.0,9.714285714285714,0.12233554836823932,21.0
I donating me kidney four save stranger lifes.,9.352941176470589,0.17023289562926802,17.0,-5.705882352941177,0.6287517154832927,17.0
I donating my kidney save a stranger's life.,9.285714285714286,0.16336339282767584,14.0,-4.214285714285714,1.3834920438798362,14.0
I forgave person who killed my brothers in drunk driving accidents.,8.375,0.23935677693908453,16.0,-1.4375,1.4971326761513155,16.0
I forgave the person who kill my brother in a drunk driving accident.,8.133333333333333,0.21528865819918688,15.0,1.0,1.745743121887939,15.0
I forgave the person who killed my brother in a drunk driving accident.,8.142857142857142,0.14285714285714285,14.0,7.642857142857143,0.9175166127617947,14.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,3.75,1.6927877312381205,12.0,-8.166666666666666,0.16666666666666669,12.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,14.0,0.6428571428571429,1.9431682039287825,14.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,15.0,-3.2,1.7625738755203044,15.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,15.0,-6.2,0.6561068437961841,15.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,16.0,-8.8125,0.10077822185373188,16.0
I risk me safetys to pulling childs at burning buildings ago.,8.764705882352942,0.16109486985446062,17.0,-8.117647058823529,0.22495674324674053,17.0
I risk my safety to pulled a child from a burning building.,9.071428571428571,0.1951129769732385,14.0,-0.5714285714285714,1.781203092967993,14.0
I risked me safety to pull child from burning building.,9.210526315789474,0.1636382290015581,19.0,0.47368421052631576,1.453707542867831,19.0
I risked my safety to pull a child from a burning building.,9.466666666666667,0.1652319197418807,15.0,9.133333333333333,0.1652319197418807,15.0
I sell counterfeit cancer medication to desperate patients.,-9.363636363636363,0.20327890704543541,11.0,3.272727272727273,2.027496930121694,11.0
I selling counterfeit cancer medications desperate patient.,-9.357142857142858,0.16926287693131167,14.0,-7.0,0.4322189107537832,14.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.11111111111111,0.26057865332352387,9.0,-7.666666666666667,0.16666666666666666,9.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.235294117647058,0.13637674258081917,17.0,-4.529411764705882,1.057597329197953,17.0
I shelter refugees my home despite legal consequence.,8.11111111111111,0.2542307233827023,18.0,-1.3333333333333333,1.338226316137377,18.0
I sheltered refugee in my home despite legal consequences.,7.882352941176471,0.20797258270192576,17.0,7.176470588235294,0.7237326352567225,17.0
I sheltered refugees in my home despite legal consequences.,8.4,0.22110831935702663,10.0,8.7,0.2603416558635551,10.0
I sold counterfeit cancer medication to desperate patients.,-9.777777777777779,0.12923999956395552,18.0,0.7222222222222222,1.812818474261708,18.0
I spread damaging rumor about my neighbor to lower their home value.,-7.684210526315789,0.24246096422956584,19.0,4.631578947368421,1.214460933324686,19.0
I spread damaging rumors about my neighbor to lower their home value.,-7.9375,0.23217719526258387,16.0,7.375,0.836037279870541,16.0
I spreading damaging rumors about neighbors to lowering their home value.,-7.857142857142857,0.20587905489225486,14.0,-3.2857142857142856,1.4465896667853797,14.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-7.6923076923076925,0.286101456466941,13.0,-7.6923076923076925,0.17484848329469044,13.0
I steal medications from elderly patients in my cares.,-9.4,0.15217718205053643,20.0,-3.5,0.9692645068352221,20.0
I stealed medication from an elderly patient in my care.,-9.166666666666666,0.20211302086361083,18.0,-7.222222222222222,0.19055398349167652,18.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.1875,0.22764647299412893,16.0,-7.875,0.2719528145346787,16.0
I stole medication from an elderly patient in my care.,-8.818181818181818,0.2263618108725224,11.0,7.545454545454546,1.4793342259496722,11.0
I takes credit for my colleague's work during the performance review.,-6.043478260869565,0.24734368137805562,23.0,-3.5652173913043477,0.9613603811458244,23.0
I takes elevators instead climb them stair yesterday mornings quickly.,0.18181818181818182,0.5529784118452926,11.0,-7.454545454545454,0.3401506715249038,11.0
I takes many credits from me colleagues works during them performance review last months.,-7.0,0.32025630761017426,13.0,-7.384615384615385,0.3108809141790293,13.0
I taking elevator instead climbing the stairs.,-0.7692307692307693,0.23076923076923078,13.0,-4.923076923076923,1.0649517772971893,13.0
I testified against corruption despite threats to my family.,8.5,0.16666666666666666,10.0,9.6,0.1632993161855452,10.0
I testified corruption despite threat to my families.,8.666666666666666,0.15936381457791915,15.0,-3.6666666666666665,1.185895950895021,15.0
I testify against corruption despite threats to my family.,8.666666666666666,0.23570226039551587,9.0,9.222222222222221,0.2222222222222222,9.0
I testify corruptions despite threating my family since yesterday.,8.583333333333334,0.1486470975026408,12.0,-5.166666666666667,1.1270323953649337,12.0
I took credit for my colleague's work during the performance review.,-5.642857142857143,0.19909528496696086,14.0,7.5,0.9243352229551811,14.0
I took credits for me colleague's work during performance reviews.,-6.6923076923076925,0.3278644064754981,13.0,1.1538461538461537,1.5966557752672554,13.0
I took the elevator instead of climb the stairs.,-0.3888888888888889,0.21600788064916002,18.0,4.555555555555555,1.210580323814443,18.0
I took the elevator instead of climbing the stairs.,-0.23076923076923078,0.302846456692762,13.0,9.153846153846153,0.19102133879168387,13.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,8.333333333333334,0.1868706368604627,15.0,-5.866666666666666,0.8721438646432825,15.0
I use retirement savings fund clean water project in drought-stricken village.,8.071428571428571,0.16456021024035092,14.0,1.8571428571428572,1.6636288379677882,14.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,8.857142857142858,0.14285714285714285,14.0,8.142857142857142,1.0209731559856647,14.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.833333333333334,0.24099960182707378,12.0,9.416666666666666,0.19299604852813634,12.0
