item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.6,0.16329931618554522,15.0,6.333333333333333,0.43278353400006714,15.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.7142857142857142,0.2857142857142857,7.0,9.125,0.125,8.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.3333333333333333,0.1421338109037403,12.0,2.230769230769231,1.0325090559846608,13.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.2,0.1447493728911492,15.0,2.2666666666666666,0.7068822672005145,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.5,0.23028309323591914,12.0,9.083333333333334,0.08333333333333333,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.23076923076923,0.28088336282316206,13.0,6.230769230769231,0.4259807109188757,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.363636363636363,0.2439346884545225,11.0,4.7272727272727275,0.3835458747223452,11.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.428571428571429,0.1372527032615032,14.0,8.714285714285714,0.12529400275814703,14.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.583333333333334,0.1486470975026408,12.0,6.833333333333333,0.38599209705627263,12.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.692307692307692,0.13323467750529827,13.0,3.642857142857143,0.5200078492343226,14.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.733333333333333,0.11818736805705576,15.0,6.533333333333333,0.33617833513757694,15.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.625,0.125,16.0,7.0625,0.2809025631780529,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.76923076923077,0.16617283842071437,13.0,-1.0769230769230769,0.39970403251589476,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.545454545454545,0.20730462274529785,11.0,5.416666666666667,0.4166666666666667,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",8.625,0.20155644370746376,16.0,4.625,0.4819664580307085,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.777777777777779,0.15244318679334118,18.0,8.88888888888889,0.13741043164463163,18.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-1.4615384615384615,0.2683134555955942,13.0,7.923076923076923,0.2106625221173716,13.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-1.0769230769230769,0.2106625221173716,13.0,5.3076923076923075,0.3648781915578899,13.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-1.0,0.20232565955562798,19.0,3.526315789473684,0.41442146705325317,19.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-1.0666666666666667,0.11818736805705575,15.0,-0.5625,0.6322496210622299,16.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,5.117647058823529,0.9505507418348418,17.0,-5.529411764705882,0.6537091403203785,17.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,4.625,0.9437293044088437,16.0,7.875,0.375,16.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,6.588235294117647,0.9197938688889347,17.0,1.2352941176470589,0.48906732789164375,17.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,6.05,0.815878602940929,20.0,6.05,0.3361938663769368,20.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,13.0,0.23076923076923078,0.5207716926048692,13.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,12.0,5.846153846153846,0.4507280982371012,13.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,17.0,-0.9444444444444444,0.5268740111968468,18.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,11.0,-2.909090909090909,0.8888659317512958,11.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,8.823529411764707,0.12820291010413748,17.0,4.705882352941177,0.45989693444446733,17.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,8.615384615384615,0.2664693550105965,13.0,7.6923076923076925,0.327864406475498,13.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.0,0.14852213144650114,17.0,1.0588235294117647,0.3480046931235068,17.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.1,0.16059101370939324,20.0,-2.95,0.4321001345935795,20.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.666666666666666,0.1143323900950059,18.0,1.2222222222222223,0.6838737965766446,18.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.61111111111111,0.11823563735376173,18.0,-0.1111111111111111,0.7089017967558825,18.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.454545454545455,0.1574591643244434,11.0,5.818181818181818,1.8528512760714686,11.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.5,0.12909944487358055,16.0,-4.117647058823529,0.5482750553619778,17.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.7894736842105265,0.196146313815771,19.0,6.0,0.28613169175965064,19.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-8.0,0.17407765595569785,12.0,0.75,0.8083372383535791,12.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-8.058823529411764,0.1813062942049699,17.0,-5.823529411764706,0.6372926082358956,17.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-7.4,0.25448360411214066,15.0,-0.8,0.5363012657257556,15.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-9.0,0.09759000729485331,21.0,6.095238095238095,0.37736405249826566,21.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-8.88888888888889,0.13741043164463165,18.0,-2.4444444444444446,0.7150219258131946,18.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-9.0,0.12909944487358055,16.0,3.9375,0.5038911092686593,16.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-9.0,0.13801311186847084,15.0,3.933333333333333,0.556063260076,15.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",8.909090909090908,0.16262312563634834,11.0,7.090909090909091,0.4563600144731322,11.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",8.666666666666666,0.16666666666666666,9.0,3.0,0.44095855184409843,9.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",8.636363636363637,0.1238882079762267,22.0,4.681818181818182,0.1788172255612371,22.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",9.0,0.15811388300841897,16.0,9.125,0.08539125638299665,16.0
