item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",0.3888888888888889,0.6423958875942207,18.0,5.0,1.0,3.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-0.8125,0.8622584202739533,16.0,7.5,1.4999999999999998,2.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",0.9090909090909091,0.5947428085016773,11.0,3.0,,1.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",0.5,0.9574271077563382,6.0,,,0.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.0,0.22645540682891915,13.0,-10.0,,1.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.857142857142857,0.3119795509138108,14.0,-8.5,1.4999999999999998,2.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.75,0.27866021451135636,12.0,-7.5,0.5,2.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.9,0.458257569495584,10.0,-6.666666666666667,0.8819171036881969,3.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.666666666666666,0.1880253582725888,12.0,-9.0,,1.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.588235294117647,0.12303823919618757,17.0,-9.25,0.47871355387816905,4.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.4,0.25448360411214066,15.0,-9.0,0.5773502691896258,3.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.384615384615385,0.18040060614705497,13.0,-10.0,0.0,2.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.7,0.15275252316519466,10.0,,,0.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.461538461538462,0.35110420352895266,13.0,8.0,,1.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",8.714285714285714,0.2857142857142857,7.0,7.0,,1.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.266666666666667,0.7525617624814632,15.0,8.5,0.5,2.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-2.1666666666666665,0.7768753783814708,12.0,,,0.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.7777777777777778,1.6564501684306192,9.0,,,0.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.2,0.5925462944877059,10.0,-0.3333333333333333,2.185812841434,3.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-1.4666666666666666,0.559478214960934,15.0,-4.5,1.4999999999999998,2.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,5.166666666666667,1.085952544678141,12.0,3.0,0.0,2.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,5.076923076923077,1.211385826771048,13.0,7.0,,1.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,5.416666666666667,1.1041130633072216,12.0,6.0,,1.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,6.8125,0.35612205304736,16.0,7.0,0.0,2.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-9.222222222222221,0.27777777777777773,9.0,-8.0,1.3038404810405297,5.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-9.25,0.27866021451135636,12.0,-8.5,1.4999999999999998,2.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-9.625,0.2630521404045756,8.0,,,0.0
