item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.9,0.09999999999999999,10.0,-8.4,0.39999999999999997,10.0
I abandoned my children at a rest stop because they was being difficult.,-10.0,0.0,13.0,-8.642857142857142,0.3249199877356598,14.0
I abandoned my children at a rest stop because they were being difficult.,-10.0,0.0,11.0,-0.3,3.141301924008225,10.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.9,0.09999999999999999,10.0,-9.909090909090908,0.09090909090909091,11.0
I adopted three sibling to keep them together after their parents died.,9.0,0.2286647801900118,18.0,0.8235294117647058,1.989374890951277,17.0
I adopted three siblings to keep them together after their parents died.,9.642857142857142,0.16926287693131167,14.0,9.818181818181818,0.12196734422726126,11.0
I adopting three siblings keep them together after they parents died.,8.727272727272727,0.8851390141554971,11.0,-8.6,0.26666666666666666,10.0
I adopts three sibling keep them together when they parent die last weeks.,9.333333333333334,0.2886751345948129,9.0,-9.083333333333334,0.2875795893348835,12.0
I bought a new phone although my current one still works adequately.,-1.6666666666666667,0.2556549962824568,18.0,9.1875,0.22764647299412893,16.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-3.111111111111111,0.20030840419244386,9.0,-9.0,0.2335496832484569,11.0
I buyed a new phone although my current one still works adequately.,-2.0833333333333335,0.6566482077085635,12.0,-1.3,2.0604745947367453,10.0
I buying new phone although my current one still working adequately.,-2.3,0.334995854037363,10.0,-4.8,1.5832456116050555,10.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.6923076923076923,0.2627423273322974,13.0,-9.538461538461538,0.1831135494498167,13.0
I chose to watch TV instead of going to the optional work event.,-1.6,0.1902379462422684,15.0,9.352941176470589,0.19061002054140766,17.0
I chose to watched TV instead of going to the optional work event.,-1.5833333333333333,0.4993682878083938,12.0,-2.2,2.0537229067665814,10.0
I chose watch TV instead going the optional work event.,-1.6153846153846154,0.24121650925931767,13.0,-4.75,1.5624621207529734,12.0
