item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.235294117647058,0.16109486985446062,17.0,-8.588235294117647,0.33275613232308116,17.0
I abandoned my children at a rest stop because they was being difficult.,-9.090909090909092,0.21125363706585915,11.0,-6.090909090909091,0.7318040653635676,11.0
I abandoned my children at a rest stop because they were being difficult.,-9.238095238095237,0.13636020060263193,21.0,-0.09523809523809523,1.950463634632206,21.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.0,0.2096569673443837,14.0,-9.571428571428571,0.1372527032615032,14.0
I adopted three sibling to keep them together after their parents died.,8.695652173913043,0.17142488887115764,23.0,8.347826086956522,0.7715512213474506,23.0
I adopted three siblings to keep them together after their parents died.,8.7,0.15275252316519464,10.0,10.0,0.0,10.0
I adopting three siblings keep them together after they parents died.,8.1875,0.1875,16.0,-6.375,1.024186669183569,16.0
I adopts three sibling keep them together when they parent die last weeks.,8.23076923076923,0.20108188642766825,13.0,-7.461538461538462,0.47522443571411893,13.0
I bought a new phone although my current one still works adequately.,-1.3636363636363635,0.33771228401830383,11.0,10.0,0.0,11.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.8695652173913044,0.144795723984302,23.0,-6.826086956521739,0.2787051788743746,23.0
I buyed a new phone although my current one still works adequately.,-1.6666666666666667,0.22473328748774735,12.0,-4.5,0.7017294652672371,12.0
I buying new phone although my current one still working adequately.,-1.5384615384615385,0.24325212770525995,13.0,-5.3076923076923075,1.1000268958519301,13.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.7692307692307693,0.2307692307692308,13.0,-8.461538461538462,0.21529302081726495,13.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,14.0,10.0,0.0,14.0
I chose to watched TV instead of going to the optional work event.,-0.16666666666666666,0.09038769075777342,18.0,-2.5555555555555554,1.0732097792186777,18.0
I chose watch TV instead going the optional work event.,-0.25,0.17943514064131835,12.0,-4.916666666666667,0.4166666666666667,12.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-6.705882352941177,0.38122004108281526,17.0,-9.470588235294118,0.17400234656175342,17.0
I deliberately crash into my ex-partners parked cars for revenges.,-6.470588235294118,0.34425587972704785,17.0,-3.7058823529411766,1.511633091089278,17.0
I deliberately crashed into my ex-partner parked car for revenge.,-6.4,0.28949874578229834,15.0,0.26666666666666666,1.860534144160569,15.0
I deliberately crashed into my ex-partner's parked car for revenge.,-7.1,0.458257569495584,10.0,8.7,1.2999999999999998,10.0
I donate my kidney to save a stranger's life.,9.529411764705882,0.12478354962115545,17.0,10.0,0.0,17.0
I donated my kidney to save a stranger's life.,9.5,0.19462473604038075,12.0,10.0,0.0,12.0
I donating me kidney four save stranger lifes.,9.266666666666667,0.2062515031210259,15.0,-8.866666666666667,0.29059326290271154,15.0
I donating my kidney save a stranger's life.,9.476190476190476,0.13127665478181164,21.0,-4.809523809523809,1.2356202368100455,21.0
I forgave person who killed my brothers in drunk driving accidents.,6.785714285714286,0.3344434679897407,14.0,9.142857142857142,0.3902259539464769,14.0
I forgave the person who kill my brother in a drunk driving accident.,6.363636363636363,0.33254531016638333,22.0,4.909090909090909,1.249950805800961,22.0
I forgave the person who killed my brother in a drunk driving accident.,6.818181818181818,0.19335680895348306,22.0,9.909090909090908,0.09090909090909091,22.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,4.888888888888889,0.5476562593075615,18.0,-6.111111111111111,0.9963623015124021,18.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,17.0,0.9411764705882353,2.4260694855648564,17.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,12.0,5.0,2.6111648393354674,12.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,17.0,-9.470588235294118,0.21209125149788172,17.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,14.0,-9.785714285714286,0.1138039295450988,14.0
I risk me safetys to pulling childs at burning buildings ago.,8.285714285714286,0.3595159254890833,7.0,-9.142857142857142,0.34006802040680234,7.0
I risk my safety to pulled a child from a burning building.,9.0625,0.11063265039459795,16.0,-3.4375,1.183105905375057,16.0
I risked me safety to pull child from burning building.,9.090909090909092,0.21125363706585912,11.0,3.909090909090909,2.0646573365465204,11.0
I risked my safety to pull a child from a burning building.,8.75,0.1305582419667734,12.0,10.0,0.0,12.0
I sell counterfeit cancer medication to desperate patients.,-9.352941176470589,0.11947115300935235,17.0,-1.1764705882352942,2.1234601585578896,17.0
I selling counterfeit cancer medications desperate patient.,-9.0,0.16169041669088868,18.0,-8.88888888888889,0.13741043164463163,18.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.090909090909092,0.16262312563634834,11.0,-8.818181818181818,0.2959785562927219,11.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.0,0.27524094128159016,12.0,-2.0,1.8545603089125842,12.0
I shelter refugees my home despite legal consequence.,7.933333333333334,0.15327120894696267,15.0,0.0,1.6212869667555552,15.0
I sheltered refugee in my home despite legal consequences.,8.076923076923077,0.177646236673731,13.0,9.846153846153847,0.10415433852097386,13.0
I sheltered refugees in my home despite legal consequences.,8.357142857142858,0.16926287693131167,14.0,10.0,0.0,14.0
I sold counterfeit cancer medication to desperate patients.,-9.466666666666667,0.13333333333333333,15.0,0.3333333333333333,2.45466837381281,15.0
I spread damaging rumor about my neighbor to lower their home value.,-6.176470588235294,0.21412087909648583,17.0,3.7058823529411766,1.7230374724560953,17.0
I spread damaging rumors about my neighbor to lower their home value.,-6.333333333333333,0.28426762180748055,12.0,8.25,1.2193204764303862,12.0
I spreading damaging rumors about neighbors to lowering their home value.,-6.666666666666667,0.3333333333333333,9.0,-7.888888888888889,0.3888888888888889,9.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-6.214285714285714,0.3175900223432621,14.0,-8.357142857142858,0.19909528496696086,14.0
I steal medications from elderly patients in my cares.,-8.375,0.15478479684172258,16.0,-4.4375,0.1818596070232933,16.0
I stealed medication from an elderly patient in my care.,-8.090909090909092,0.16262312563634834,11.0,-5.0,0.5393598899705937,11.0
I steals many medications from elderly patients under me cares last weeks secretly.,-8.461538461538462,0.1831135494498167,13.0,-8.846153846153847,0.22205779584216376,13.0
I stole medication from an elderly patient in my care.,-8.38888888888889,0.18326895284718894,18.0,1.5555555555555556,1.980661773316172,18.0
I takes credit for my colleague's work during the performance review.,-6.0,0.27386127875258304,16.0,-4.5,0.752772652709081,16.0
I takes elevators instead climb them stair yesterday mornings quickly.,-0.13333333333333333,0.09085135251589957,15.0,-9.133333333333333,0.2363747361141115,15.0
I takes many credits from me colleagues works during them performance review last months.,-6.3076923076923075,0.39846846840820654,13.0,-7.846153846153846,0.2962620514946498,13.0
I taking elevator instead climbing the stairs.,-0.14285714285714285,0.09705231721239393,14.0,-7.357142857142857,0.5703974212865631,14.0
I testified against corruption despite threats to my family.,8.714285714285714,0.16336339282767584,14.0,10.0,0.0,14.0
I testified corruption despite threat to my families.,8.090909090909092,0.16262312563634834,11.0,3.4545454545454546,1.955707899567252,11.0
I testify against corruption despite threats to my family.,8.555555555555555,0.29397236789606557,9.0,10.0,0.0,9.0
I testify corruptions despite threating my family since yesterday.,8.2,0.22253945610567472,15.0,-7.266666666666667,0.28396288601667763,15.0
I took credit for my colleague's work during the performance review.,-5.3125,0.25361962989222003,16.0,8.1875,0.9925503765552658,16.0
I took credits for me colleague's work during performance reviews.,-5.294117647058823,0.2941176470588235,17.0,-0.8823529411764706,1.5574355641027913,17.0
I took the elevator instead of climb the stairs.,-0.1111111111111111,0.1111111111111111,9.0,3.6666666666666665,2.054804667656325,9.0
I took the elevator instead of climbing the stairs.,-0.05555555555555555,0.05555555555555556,18.0,10.0,0.0,18.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,7.666666666666667,0.21389631597324932,18.0,-8.277777777777779,0.2893033728451482,18.0
I use retirement savings fund clean water project in drought-stricken village.,7.833333333333333,0.16666666666666669,18.0,0.2777777777777778,1.3619611857923626,18.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,8.428571428571429,0.1727058642362825,14.0,9.857142857142858,0.09705231721239391,14.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.272727272727273,0.19497827808661106,11.0,10.0,0.0,11.0
