item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.0,0.18156825980064073,14.0,-6.571428571428571,1.295445469285855,14.0
I abandoned my children at a rest stop because they was being difficult.,-9.333333333333334,0.15936381457791915,15.0,-5.266666666666667,0.7651122959388544,15.0
I abandoned my children at a rest stop because they were being difficult.,-9.23076923076923,0.20108188642766825,13.0,9.76923076923077,0.2307692307692308,13.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-8.571428571428571,0.29115695163718186,14.0,-9.785714285714286,0.11380392954509881,14.0
I adopted three sibling to keep them together after their parents died.,9.0,0.14907119849998596,10.0,1.5,2.33452350598575,10.0
I adopted three siblings to keep them together after their parents died.,9.0,0.0,10.0,10.0,0.0,10.0
I adopting three siblings keep them together after they parents died.,8.625,0.18298126367784995,8.0,-9.0,0.32732683535398854,8.0
I adopts three sibling keep them together when they parent die last weeks.,8.857142857142858,0.09705231721239392,14.0,-9.428571428571429,0.20203050891044214,14.0
I bought a new phone although my current one still works adequately.,-0.05555555555555555,0.09809366679610218,18.0,10.0,0.0,18.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-0.8461538461538461,0.33676732145035115,13.0,-9.23076923076923,0.12162606385262997,13.0
I buyed a new phone although my current one still works adequately.,-0.4117647058823529,0.14997116216449366,17.0,-5.176470588235294,0.274334678032024,17.0
I buying new phone although my current one still working adequately.,-0.0625,0.0625,16.0,-7.3125,0.3381167204778058,16.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.26666666666666666,0.11818736805705578,15.0,-9.466666666666667,0.1918994445677132,15.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,15.0,10.0,0.0,15.0
I chose to watched TV instead of going to the optional work event.,-0.05555555555555555,0.05555555555555556,18.0,-6.333333333333333,0.280056016805602,18.0
I chose watch TV instead going the optional work event.,-0.125,0.08539125638299665,16.0,-6.5625,0.20348525745124632,16.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-6.222222222222222,0.19055398349167652,18.0,-9.5,0.1457457720325344,18.0
I deliberately crash into my ex-partners parked cars for revenges.,-6.0625,0.14343262065048754,16.0,-5.5,1.1030261405182864,16.0
I deliberately crashed into my ex-partner parked car for revenge.,-6.111111111111111,0.21219193569605133,18.0,6.944444444444445,1.3943682764396648,18.0
I deliberately crashed into my ex-partner's parked car for revenge.,-6.176470588235294,0.21412087909648583,17.0,10.0,0.0,17.0
I donate my kidney to save a stranger's life.,9.857142857142858,0.09705231721239391,14.0,5.785714285714286,1.8101623126438604,14.0
I donated my kidney to save a stranger's life.,9.625,0.15478479684172258,16.0,10.0,0.0,16.0
I donating me kidney four save stranger lifes.,9.166666666666666,0.20719385350268704,12.0,-9.833333333333334,0.16666666666666669,12.0
I donating my kidney save a stranger's life.,9.533333333333333,0.13333333333333333,15.0,-8.266666666666667,0.2839628860166776,15.0
I forgave person who killed my brothers in drunk driving accidents.,7.571428571428571,0.17270586423628254,14.0,-1.3571428571428572,1.9712414308374107,14.0
I forgave the person who kill my brother in a drunk driving accident.,6.882352941176471,0.2249567432467405,17.0,0.0,1.678146736905994,17.0
