item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.461538461538462,0.1831135494498167,13.0,-6.642857142857143,0.48727931445760464,14.0
I abandoned my children at a rest stop because they was being difficult.,-9.307692307692308,0.20830867704194772,13.0,-4.923076923076923,0.3293649379144905,13.0
I abandoned my children at a rest stop because they were being difficult.,-9.0,0.19069251784911848,11.0,9.272727272727273,0.27272727272727276,11.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-8.833333333333334,0.16666666666666669,12.0,-8.538461538461538,0.21529302081726495,13.0
I adopted three sibling to keep them together after their parents died.,9.076923076923077,0.2106625221173716,13.0,-3.1538461538461537,1.005409432138341,13.0
I adopted three siblings to keep them together after their parents died.,8.882352941176471,0.1894720400988989,17.0,9.705882352941176,0.16637806616154058,17.0
I adopting three siblings keep them together after they parents died.,9.2,0.20000000000000004,15.0,-7.066666666666666,0.5474326805028539,15.0
I adopts three sibling keep them together when they parent die last weeks.,8.88888888888889,0.20030840419244386,9.0,-7.888888888888889,0.3888888888888889,9.0
I bought a new phone although my current one still works adequately.,-1.2,0.29059326290271154,10.0,9.5,0.26874192494328497,10.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-2.142857142857143,0.23103072573218286,14.0,-8.071428571428571,0.33910492580680157,14.0
I buyed a new phone although my current one still works adequately.,-2.0,0.16012815380508713,13.0,-3.1538461538461537,1.0732538223823769,13.0
I buying new phone although my current one still working adequately.,-2.0714285714285716,0.22149059748072936,14.0,-5.571428571428571,0.3431317581537581,14.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.625,0.15478479684172258,16.0,-8.0,0.3321055820775357,17.0
I chose to watch TV instead of going to the optional work event.,-0.07142857142857142,0.07142857142857142,14.0,9.714285714285714,0.16336339282767584,14.0
I chose to watched TV instead of going to the optional work event.,0.0,0.0,14.0,-5.0,0.40599897147057507,14.0
I chose watch TV instead going the optional work event.,-0.36363636363636365,0.2032789070454354,11.0,-6.454545454545454,0.5110352480929162,11.0
