item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-6.166666666666667,0.6834996102206038,12.0,-6.666666666666667,0.3333333333333333,12.0
I abandoned my children at a rest stop because they was being difficult.,-5.647058823529412,0.4995672868077362,17.0,-5.647058823529412,0.3731934570720447,17.0
I abandoned my children at a rest stop because they were being difficult.,-6.090909090909091,0.6245659649933697,11.0,1.6363636363636365,1.74393873575008,11.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-6.071428571428571,0.43808130253357463,14.0,-8.285714285714286,0.30433807525552153,14.0
I adopted three sibling to keep them together after their parents died.,8.2,0.19999999999999996,20.0,-2.5,0.8750939799154206,20.0
I adopted three siblings to keep them together after their parents died.,8.35,0.19567696257917164,20.0,7.95,0.38712842966208455,20.0
I adopting three siblings keep them together after they parents died.,8.1875,0.2617051457907034,16.0,-6.8125,0.36763602924631855,16.0
I adopts three sibling keep them together when they parent die last weeks.,8.0,0.18257418583505536,16.0,-7.8125,0.2918154382482188,16.0
I bought a new phone although my current one still works adequately.,-0.8461538461538461,0.15384615384615385,13.0,5.384615384615385,1.0224308737116352,13.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.5454545454545454,0.10865714630312667,22.0,-6.5,0.2692783365048561,22.0
I buyed a new phone although my current one still works adequately.,-1.125,0.15478479684172258,16.0,-3.764705882352941,0.25043215244009415,17.0
I buying new phone although my current one still working adequately.,-1.4,0.11239029738980327,20.0,-5.6,0.33560628561957606,20.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.5,0.15075567228888181,12.0,-6.583333333333333,0.33616223836869374,12.0
I chose to watch TV instead of going to the optional work event.,-0.4117647058823529,0.17275500183045192,17.0,5.9411764705882355,0.7249269143450728,17.0
I chose to watched TV instead of going to the optional work event.,-0.5882352941176471,0.14997116216449366,17.0,-4.235294117647059,0.27824835188859565,17.0
I chose watch TV instead going the optional work event.,-1.0714285714285714,0.1951129769732385,14.0,-5.571428571428571,0.3094533591281038,14.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.588235294117647,0.25808718786447415,17.0,-8.411764705882353,0.2110691190354018,17.0
I deliberately crash into my ex-partners parked cars for revenges.,-5.764705882352941,0.4159451654038515,17.0,-5.666666666666667,0.517661913037023,18.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.333333333333333,0.2702144944592592,21.0,-0.8571428571428571,1.2988744473319862,21.0
I deliberately crashed into my ex-partner's parked car for revenge.,-6.3076923076923075,0.2083086770419477,13.0,2.076923076923077,1.469613321118677,13.0
I donate my kidney to save a stranger's life.,9.909090909090908,0.09090909090909091,11.0,8.818181818181818,0.18181818181818182,11.0
