item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.5,0.17013926184468015,20.0,-8.55,0.36616792236407203,20.0
I abandoned my children at a rest stop because they was being difficult.,-9.636363636363637,0.2439346884545225,11.0,-5.0,1.381698559415515,11.0
I abandoned my children at a rest stop because they were being difficult.,-9.933333333333334,0.06666666666666665,15.0,4.333333333333333,2.1573057859210065,15.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-10.0,0.0,9.0,-9.88888888888889,0.11111111111111112,9.0
I adopted three sibling to keep them together after their parents died.,9.842105263157896,0.15789473684210528,19.0,0.0,1.5653409844697797,19.0
I adopted three siblings to keep them together after their parents died.,9.85,0.15000000000000002,20.0,10.0,0.0,20.0
I adopting three siblings keep them together after they parents died.,9.714285714285714,0.15649215928719035,21.0,-8.8,0.28654015976455155,20.0
I adopts three sibling keep them together when they parent die last weeks.,9.8,0.13333333333333333,10.0,-8.8,0.38873012632301995,10.0
I bought a new phone although my current one still works adequately.,-0.23076923076923078,0.25705048276619774,13.0,8.615384615384615,1.0034457399666408,13.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.6153846153846154,0.5004928537421316,13.0,-9.692307692307692,0.13323467750529827,13.0
I buyed a new phone although my current one still works adequately.,-0.06666666666666667,0.33046383948376146,15.0,-4.533333333333333,0.1918994445677132,15.0
I buying new phone although my current one still working adequately.,-0.2777777777777778,0.2777777777777778,18.0,-7.833333333333333,0.422024377451586,18.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.2307692307692308,0.25705048276619774,13.0,-8.666666666666666,0.37605071654517747,12.0
I chose to watch TV instead of going to the optional work event.,-0.14285714285714285,0.09705231721239393,14.0,10.0,0.0,14.0
I chose to watched TV instead of going to the optional work event.,-0.21428571428571427,0.1547266795640519,14.0,-5.384615384615385,0.3108809141790293,13.0
I chose watch TV instead going the optional work event.,-0.5,0.17383837384127884,14.0,-7.214285714285714,0.48242258877474387,14.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.75,0.2798025619686327,20.0,-9.8,0.09176629354822469,20.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.777777777777778,0.2976548375617177,18.0,-7.444444444444445,0.4798026706466132,18.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.647058823529412,0.19061002054140766,17.0,3.4705882352941178,1.7130932786380546,17.0
