item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.0625,0.2809025631780529,16.0,-3.6875,0.4351125333366837,16.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.2666666666666666,0.2062515031210259,15.0,-1.1333333333333333,1.3762151917371985,15.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.2941176470588236,0.6169463812765598,17.0,-3.764705882352941,0.3691147175885627,17.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.16666666666666666,0.36583928689847384,12.0,-2.75,1.0084867151060815,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-7.818181818181818,0.2042446080014796,22.0,3.727272727272727,1.5765898567936645,22.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.571428571428571,0.3431317581537581,14.0,-1.2857142857142858,1.2108872935482513,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.625,0.25617376914899,16.0,-2.125,0.9568829604502319,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.444444444444445,0.27082809614510667,18.0,-1.2222222222222223,1.742501311513006,18.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,16.0,-4.8125,1.4440070117558292,16.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,17.0,-5.647058823529412,1.0742342569264516,17.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,13.0,-7.076923076923077,0.9090819436531197,13.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,11.0,-7.454545454545454,0.3899565561732221,11.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.9375,0.0625,16.0,3.75,1.0626225419530053,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.916666666666666,0.08333333333333333,12.0,6.25,1.2193204764303862,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.666666666666666,0.1880253582725888,12.0,3.3333333333333335,1.6575508280214963,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.846153846153847,0.10415433852097386,13.0,4.615384615384615,1.9563783308884863,13.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.2727272727272727,0.19497827808661108,11.0,3.090909090909091,1.7552754016214067,11.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.375,0.2630521404045756,8.0,-3.625,0.3238992347717331,8.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.1111111111111111,0.11111111111111112,18.0,-3.888888888888889,0.31195031539298623,18.0
