item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-3.3333333333333335,0.7637626158259733,9.0,3.9,1.0376254944182253,10.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.76,0.31770006819850277,25.0,6.269230769230769,0.561749170161839,26.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.8333333333333334,0.3445096060879416,12.0,0.0,0.6112498455021267,14.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.38461538461538464,0.24121650925931767,13.0,-0.3125,0.8302547299875302,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.4375,0.2882237267586877,16.0,1.7647058823529411,1.6727254349183662,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.466666666666667,0.321701823886753,15.0,-2.764705882352941,1.2142820796084126,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.923076923076923,0.6742663483233183,13.0,-2.0,1.0253204627247285,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.307692307692308,0.3820426775833677,13.0,1.8666666666666667,1.629684943746188,15.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.76923076923077,0.16617283842071437,13.0,-1.7692307692307692,1.7027648939368198,13.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.727272727272727,0.19497827808661106,11.0,-4.3076923076923075,1.0523759162169812,13.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.6,0.21380899352993948,15.0,-6.4375,0.8414706867542485,16.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.777777777777779,0.22222222222222224,9.0,-7.6,0.541602560309064,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.636363636363637,0.3377122840183038,11.0,3.0833333333333335,1.1041130633072216,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.266666666666667,0.24816788991991207,15.0,5.6875,0.6628143908113845,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",8.727272727272727,0.3590621392387545,11.0,5.384615384615385,0.7888523109187262,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.294117647058824,0.2058823529411765,17.0,9.0,0.14852213144650114,17.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-1.2941176470588236,0.4180197177515263,17.0,7.526315789473684,0.672641737287046,19.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.11764705882352941,0.2249567432467405,17.0,4.111111111111111,0.6996212275359301,18.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.6428571428571429,0.427195593789564,14.0,1.25,1.0388294694831615,16.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.5833333333333334,0.48395988647528604,12.0,-4.333333333333333,0.44946657497549475,12.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,8.055555555555555,0.31800257143513944,18.0,0.3888888888888889,1.2370608453998924,18.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,8.571428571428571,0.5281207860194961,7.0,9.11111111111111,0.26057865332352387,9.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,8.909090909090908,0.3149183286488868,11.0,5.538461538461538,0.931055264377708,13.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,8.571428571428571,0.3431317581537582,14.0,8.625,0.2212653007891959,16.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-9.882352941176471,0.08054743492723031,17.0,-0.5555555555555556,1.9271405588276578,18.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-9.642857142857142,0.16926287693131167,14.0,-2.1333333333333333,2.214382998374956,15.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-9.764705882352942,0.10604562574894087,17.0,-4.722222222222222,1.2148470291706184,18.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-9.631578947368421,0.15691705105261677,19.0,-1.9523809523809523,1.384396362311697,21.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.38888888888889,0.20030840419244386,18.0,6.25,0.8610733815541232,20.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.375,0.2630521404045756,8.0,7.222222222222222,1.2993350626140554,9.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.4375,0.20348525745124632,16.0,7.764705882352941,0.32685457016018926,17.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.357142857142858,0.2482276263313521,14.0,-0.5333333333333333,1.7426489597235,15.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.625,0.17969882210706523,16.0,-3.5,1.6683325008322931,16.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.833333333333334,0.1123666437438737,12.0,-4.714285714285714,1.7206840303153,14.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.714285714285714,0.12529400275814703,14.0,-0.125,1.7220990099294524,16.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.6875,0.1505199322349037,16.0,-5.705882352941177,1.3952775021329904,17.0
