item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.6923076923076923,0.26274232733229735,13.0,6.769230769230769,0.3781508000962212,13.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.2222222222222223,0.22222222222222224,18.0,9.166666666666666,0.1457457720325344,18.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.4666666666666666,0.19189944456771318,15.0,-0.6,0.6309478885734052,15.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.619047619047619,0.20090498199741894,21.0,1.9523809523809523,0.5915121480706823,21.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.5,0.13572417850765922,20.0,8.7,0.12773327473170104,20.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.294117647058824,0.14257881933577438,17.0,5.470588235294118,0.21209125149788174,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.61111111111111,0.16447358865570744,18.0,2.5,0.43723731609760313,18.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.2,0.24944382578492943,10.0,7.5,0.22360679774997896,10.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,15.0,6.533333333333333,0.27371634025142694,15.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.875,0.08539125638299665,16.0,4.625,0.2212653007891959,16.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.933333333333334,0.06666666666666665,15.0,7.8,0.24299715851758238,15.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.923076923076923,0.07692307692307691,13.0,5.538461538461538,0.4177992496615467,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.214285714285714,0.1547266795640519,14.0,3.5,0.5906785072280004,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.5,0.16666666666666666,10.0,7.6,0.26666666666666666,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.133333333333333,0.09085135251589958,15.0,5.733333333333333,0.2062515031210259,15.0
